Source,Target
ಬದಲಾವಣೆ,ಬದಲಾವಣೆ
ಬರೆದವರು,ಬರೆಯಿನಾರ್
ಚಂದು,ಚಂದು
ಎನ್ನುವವರು,ಪನ್ಪಿನಾರ್
ದೇವರು,ದೇವೆರ್
ಕೊಡುವಾಗ,ಕೊರ್ನಗ
ಎಲ್ಲವನ್ನೂ,ಮಾತಲ
ಕೊಡುತ್ತಾರೆ,ಕೊರ್ಪೆರ್
ಹಾಗೆಯೇ,ಅಂಚನೆ
ಮನಸ್ಸಿಗೆ,ಮನಸುಗು
ಆದ,ಆಯಿನ
ನೋವು,ಬೇನೆ
ಆ,ಆ
ಮಾಸುವುದಿಲ್ಲ,ಮಾಜುಜಿ
ವಿಭವನು,ವಿಭವೆ
ನಡೆಯುತ್ತಿದ್ದಾನೆ,ನಡತೊಂದುಲ್ಲೆ
ನಮಗೆ,ನಮಕ್
ಸುಲಭವಾಗಿ,ಸೊಲಬೊಗು
ಅರ್ಥ,ಅರ್ಥ
ಆಗದ,ಆವಂದಿನ
ಒಂದು,ಒಂಜಿ
ವಿಜ್ಞಾನ,ವಿಜ್ಞಾನ
ಇತ್ತು,ಇತ್ತ್ಂಡ್
ಈ,ಈ
ಪ್ರಕರಣದ,ಪ್ರಕರಣದ
ಪತ್ತೆಯಲ್ಲಿ,ಪತ್ತೆಡ್
ದ.ಕ.,ದ.ಕ
ಜಿಲ್ಲಾ,ಜಿಲ್ಲಾ
ಪೆÇಲೀಸ್,ಪೊಲೀಸ್
ಅಧೀಕ್ಷಕರಾದ,ಅಧೀಕ್ಷಕೆರಾಯಿನ
ಶ್ರೀ,ಶ್ರೀ
ಋಷಿಕೇಶ್,ಋಷಿಕೇಶ್
ಸೋನಾವಣೆ,ಸೋನಾವಣೆ
ಐ.ಪಿ.ಎಸ್,ಐ.ಪಿ.ಎಸ್
ಇವರ,ಮೆರ್ನ
ನಿರ್ದೇಶನದ,ನಿರ್ದೇಶನದ
ಪ್ರಕಾರ,ಪ್ರಕಾರ
ದ.ಕ.ಜಿಲ್ಲಾ,ದ.ಕ
ಹೆಚ್ಚುವರಿ,ಜಿಲ್ಲಾ
ವಿ.ಬಿ.,ಶ್ರೀ
ಭಾಸ್ಕರ್‍ರವರ,ವಿ.ಬಿ
ಮಾರ್ಗದರ್ಶನದಲ್ಲಿ,ಭಾಸ್ಕರ್
ಬಂಟ್ವಾಳ,ಮೆರ್ನ
ಉಪವಿಭಾಗದ,ಮಾರ್ಗದರ್ಶನಡ್
