en,Kn
ಬದಲಾವಣೆ ಬರೆದವರು ಚಂದು ಎನ್ನುವವರು,The change was written by Chandu
ದೇವರು ಕೊಡುವಾಗ ಎಲ್ಲವನ್ನೂ ಕೊಡುತ್ತಾರೆ,God Gives Everything When He Gives It
ಹಾಗೆಯೇ ಮನಸ್ಸಿಗೆ ಆದ ನೋವು ಆ ನೋವು ಮಾಸುವುದಿಲ್ಲ,"Also, the pain of the mind does not go away."
ವಿಭವನು  ನಡೆಯುತ್ತಿದ್ದಾನೆ,The potential is on the move
ನಮಗೆ ಸುಲಭವಾಗಿ ಅರ್ಥ ಆಗದ ಒಂದು ವಿಜ್ಞಾನ ಇತ್ತು,There was a science that we did not understand easily.
ಈ ಪ್ರಕರಣದ ಪತ್ತೆಯಲ್ಲಿ ದ.ಕ. ಜಿಲ್ಲಾ ಪೆÇಲೀಸ್ ಅಧೀಕ್ಷಕರಾದ ಶ್ರೀ ಋಷಿಕೇಶ್ ಸೋನಾವಣೆ ಐ.ಪಿ.ಎಸ್ ಇವರ ನಿರ್ದೇಶನದ ಪ್ರಕಾರ ದ.ಕ.ಜಿಲ್ಲಾ ಹೆಚ್ಚುವರಿ ಪೆÇಲೀಸ್ ಅಧೀಕ್ಷಕರಾದ ಶ್ರೀ ವಿ.ಬಿ. ಭಾಸ್ಕರ್‍ರವರ ಮಾರ್ಗದರ್ಶನದಲ್ಲಿ ಬಂಟ್ವಾಳ ಉಪವಿಭಾಗದ ಪೆÇಲೀಸ್ ಉಪಧೀಕ್ಷಕರಾದ ಶ್ರೀ ವೆಲೈಂಟೆನ್ ಡಿಸೋಜರವರ ಮುಂದಾಳತ್ವದಲ್ಲಿ ಬಂಟ್ವಾಳ ನಗರ ಠಾಣಾ ಪೆÇಲೀಸ್ ನಿರೀಕ್ಷಕರಾದ ಚೆಲುವರಾಜು ಬಿ. ಬಂಟ್ವಾಳ ನಗರ ಠಾಣಾ ಪೆÇಲೀಸ್ ಉಪನಿರೀಕ್ಷಕರು ಮತ್ತು ಸಿಬ್ಬಂದಿಗಳು  ಬಂಟ್ವಾಳ ಗ್ರಾಮಾಂತರ ಪೆÇಲೀಸ್ ಠಾಣಾ ಉಪನಿರೀಕ್ಷಕರು ಹಾಗೂ ಸಿಬ್ಬಂದಿಗಳು ಬಂಟ್ವಾಳ ನಗರ ಪೆÇಲೀಸ್ ಠಾಣಾ ಅಪರಾಧ ವಿಭಾಗದ ಪೆÇಲೀಸ್ ಉಪನಿರೀಕ್ಷರಾದ,"In the investigation of this case, as per the direction of DK District Superintendent of Police Shri Hrishikesh Sonawane IPS, under the guidance of DK District Additional Superintendent of Police Shri V.B. Bhaskar, Bantwal Sub-Divisional Deputy Superintendent of Police Shri Valentin D'Souza, Bantwal City Police Station Inspector Cheluvaraju B. Bantwal City Police Station Sub-Inspector and staff, Bantwal Rural Police Station Sub-Inspector and staff, Bantwal City Police Station Crime Branch Police Sub-Inspector"
ತಪ್ಪಿದ ಕಾಲಕ್ಕೆ ಸೋಲು,Lost to time
ಅಸ್ಸಾಂನ ಮುಂದಿನ ಮುಖ್ಯಮಂತ್ರಿ ಸ್ಥಾನಕ್ಕಾಗಿ ಸೋನೊವಾಲ್ ಮತ್ತು ಪ್ರಭಾವಿ ನಾಯಕ ಹಿಮಂತ ಬಿಸ್ವಾ ಶರ್ಮಾ ಮಧ್ಯೆ ತೀವ್ರ ಪೈಪೆÇೀಟಿ ನಡೆದಿದೆ.,There has been a fierce tussle between Sonowal and influential leader Himanta Biswa Sarma for the next chief minister of Assam.
ಸುರೇಶನು ನೋಡುತ್ತಿದ್ದಾನೆ,Sureshan is watching
ಮಗುವಿನ ಕೈ ಕಾಲನ್ನು ಬಗ್ಗಿಸಿ ನೇರ ಮಾಡಿ,Bend and straighten the child's arms and legs.
